"","employees","salaries.2014","salaries.2015","raise","got.raise"
"1","Employee 1",4250.10123639368,13208.3865336608,8958.28529726714,TRUE
"2","Employee 2",4577.45888270438,7409.83057185076,2832.37168914638,TRUE
"3","Employee 3",4432.65682039782,3821.86977029778,-610.787050100043,FALSE
"4","Employee 4",4044.59944670089,5804.98889531009,1760.3894486092,TRUE
"5","Employee 5",4968.57938566245,5409.43077160046,440.851385938004,TRUE
"6","Employee 6",4968.45019725151,12830.3206348792,7861.87043762766,TRUE
"7","Employee 7",4159.55013060011,-477.120906114578,-4636.67103671469,FALSE
"8","Employee 8",4264.06432013027,3561.29068834707,-702.773631783202,FALSE
"9","Employee 9",4067.88209383376,13801.1478940025,9733.26580016874,TRUE
"10","Employee 10",4359.31611084379,4776.39846946113,417.082358617336,TRUE
"11","Employee 11",4610.66731601022,7501.67248537764,2891.00516936742,TRUE
"12","Employee 12",4846.78034600802,4101.64305288345,-745.137293124571,FALSE
"13","Employee 13",4225.61858245172,-206.261954270303,-4431.88053672202,FALSE
"14","Employee 14",4211.17769810371,5704.90414416417,1493.72644606046,TRUE
"15","Employee 15",4648.79156230018,1683.31030313857,-2965.48125916161,FALSE
"16","Employee 16",4717.19167358242,3010.48679673113,-1706.70487685129,FALSE
"17","Employee 17",4157.97144407406,7860.01057713293,3702.03913305886,TRUE
"18","Employee 18",4972.42724709213,2611.97252501734,-2360.45472207479,FALSE
"19","Employee 19",4474.50003470294,8625.19324757159,4150.69321286865,TRUE
"20","Employee 20",4961.86741045676,5729.01853709482,767.151126638055,TRUE
"21","Employee 21",4078.94898508675,13455.8162833564,9376.86729826964,TRUE
"22","Employee 22",4934.39723923802,6859.96257769875,1925.56533846073,TRUE
"23","Employee 23",4977.26061870344,14180.8732135687,9203.61259486526,TRUE
"24","Employee 24",4747.6141420193,10232.4140872806,5484.79994526133,TRUE
"25","Employee 25",4105.92676047236,931.130163604394,-3174.79659686796,FALSE
"26","Employee 26",4606.61453241482,13879.1593995411,9272.54486712627,TRUE
"27","Employee 27",4012.79453188181,8168.47937414423,4155.68484226242,TRUE
"28","Employee 28",4711.22253569774,6707.30734011158,1996.08480441384,TRUE
"29","Employee 29",4159.05720391311,11437.4676679727,7278.41046405956,TRUE
"30","Employee 30",4024.4263340719,10486.8926596828,6462.46632561088,TRUE
"31","Employee 31",4547.29506140575,5079.2612307705,531.96616936475,TRUE
"32","Employee 32",4524.064976722,4393.74261419289,-130.322362529114,FALSE
"33","Employee 33",4113.57774562202,12658.7994354777,8545.22168985568,TRUE
"34","Employee 34",4766.28836919554,8689.8998261895,3923.61145699397,TRUE
"35","Employee 35",4625.83373184316,5899.36910779215,1273.535375949,TRUE
"36","Employee 36",4567.12123379111,109.131515724584,-4457.98971806653,FALSE
"37","Employee 37",4276.89192653634,8955.46093420126,4678.56900766492,TRUE
"38","Employee 38",4314.73348056898,-565.33744558692,-4880.07092615589,FALSE
"39","Employee 39",4643.16995884292,11818.1359996088,7174.96604076587,TRUE
"40","Employee 40",4506.67272438295,2151.89774753526,-2354.77497684769,FALSE
"41","Employee 41",4703.53938639164,8595.44366481714,3891.9042784255,TRUE
"42","Employee 42",4202.40838080645,12809.8577493802,8607.44936857373,TRUE
"43","Employee 43",4029.81208497658,11854.8774530645,7825.06536808796,TRUE
"44","Employee 44",4089.6393652074,13881.6828248091,9792.0434596017,TRUE
"45","Employee 45",4469.62209208868,13025.8630334865,8556.24094139785,TRUE
"46","Employee 46",4959.46060190909,13451.649120776,8492.1885188669,TRUE
"47","Employee 47",4054.11191680469,11102.2542864084,7048.14236960374,TRUE
"48","Employee 48",4318.57329676859,3656.04466758668,-662.528629181907,FALSE
"49","Employee 49",4011.94517803378,9967.3115410842,5955.36636305042,TRUE
"50","Employee 50",4302.35972441733,6345.24775599129,2042.88803157397,TRUE
"51","Employee 51",4012.76200986467,14007.5607874896,9994.79877762496,TRUE
"52","Employee 52",4436.37244473211,14050.5732579622,9614.20081323013,TRUE
"53","Employee 53",4057.14287189767,8930.54560059682,4873.40272869915,TRUE
"54","Employee 54",4626.88477011397,13702.8046441264,9075.91987401247,TRUE
"55","Employee 55",4596.83203487657,578.856522915885,-4017.97551196069,FALSE
"56","Employee 56",4923.18062717095,10560.1119229104,5636.93129573949,TRUE
"57","Employee 57",4917.74072684348,3841.30268986337,-1076.43803698011,FALSE
"58","Employee 58",4593.20254996419,10984.0710638091,6390.86851384491,TRUE
"59","Employee 59",4441.46249466576,12804.5744125266,8363.11191786081,TRUE
"60","Employee 60",4318.59354511835,10563.4951861575,6244.90164103918,TRUE
"61","Employee 61",4194.68321022578,-655.356544302776,-4850.03975452855,FALSE
"62","Employee 62",4366.67476803996,7484.86095946282,3118.18619142286,TRUE
"63","Employee 63",4235.37180409767,10928.5439201631,6693.1721160654,TRUE
"64","Employee 64",4703.51990521885,5371.97699281387,668.457087595016,TRUE
"65","Employee 65",4157.66784409061,8133.27547698282,3975.60763289221,TRUE
"66","Employee 66",4327.51246728003,2629.21723420732,-1698.29523307271,FALSE
"67","Employee 67",4808.24765330181,5228.84849039838,420.600837096572,TRUE
"68","Employee 68",4895.48335759901,10669.8448476382,5774.36149003915,TRUE
"69","Employee 69",4556.95656943135,11642.2212845646,7085.26471513323,TRUE
"70","Employee 70",4409.76164815947,2729.84531638213,-1679.91633177735,FALSE
"71","Employee 71",4255.36759383976,3105.83898401819,-1149.52860982157,FALSE
"72","Employee 72",4764.52167658135,7853.74520043842,3089.22352385707,TRUE
"73","Employee 73",4701.20415184647,-102.196109015495,-4803.40026086196,FALSE
"74","Employee 74",4486.64929275401,5349.41770625301,862.768413498998,TRUE
"75","Employee 75",4689.9884804152,1365.64660165459,-3324.34187876061,FALSE
"76","Employee 76",4134.41612385213,-778.061681194231,-4912.47780504636,FALSE
"77","Employee 77",4231.48287483491,2993.58543846756,-1237.89743636735,FALSE
"78","Employee 78",4707.07881636918,1278.82421738468,-3428.25459898449,FALSE
"79","Employee 79",4659.17654172517,5519.14432039484,859.96777866967,TRUE
"80","Employee 80",4526.55495656654,2332.02131395228,-2194.53364261426,FALSE
"81","Employee 81",4350.3237743862,781.468376051635,-3568.85539833456,FALSE
"82","Employee 82",4288.30685443245,4199.46124311537,-88.8456113170832,FALSE
"83","Employee 83",4006.63753715344,826.479434967041,-3180.1581021864,FALSE
"84","Employee 84",4977.91161108762,14224.0192571189,9246.10764603131,TRUE
"85","Employee 85",4622.16501496732,1458.06369860657,-3164.10131636076,FALSE
"86","Employee 86",4342.88146370091,12528.9610906038,8186.07962690294,TRUE
"87","Employee 87",4148.81525817327,9570.14268636703,5421.32742819376,TRUE
"88","Employee 88",4162.78459969908,5005.75427687727,842.969677178189,TRUE
"89","Employee 89",4701.09075680375,10722.961015068,6021.87025826424,TRUE
"90","Employee 90",4427.46140155941,10863.4662474506,6436.00484589115,TRUE
"91","Employee 91",4769.21288762242,1300.76833767816,-3468.44454994425,FALSE
"92","Employee 92",4802.93117556721,9516.38324046507,4713.45206489787,TRUE
"93","Employee 93",4802.34284698963,6548.57165343128,1746.22880644165,TRUE
"94","Employee 94",4612.55059973337,12987.4618833419,8374.91128360853,TRUE
"95","Employee 95",4078.76235176809,10064.7006658837,5985.93831411563,TRUE
"96","Employee 96",4767.0920919627,11714.5293594804,6947.43726751767,TRUE
"97","Employee 97",4685.76907576062,9531.38285479508,4845.61377903447,TRUE
"98","Employee 98",4407.11712907068,1780.08100576699,-2627.0361233037,FALSE
"99","Employee 99",4710.28149034828,2933.07275883853,-1777.20873150975,FALSE
"100","Employee 100",4794.3425916601,1069.14299353957,-3725.19959812053,FALSE
